fedora19,master:54562006c1327c5b99daa4cc05a3ba7e38412da1,1.6_M3.rc2,1:19:06,10:59.79,1:18:43,4:02.50,0:35.41,0:17.26,0:01.84,24824108,5325804
fedora19,master:54562006c1327c5b99daa4cc05a3ba7e38412da1,1.6_M3.rc2,1:18:46,10:56.41,1:17:48,4:03.89,0:35.28,0:17.11,0:01.78,24826484,5325944
fedora19,master:54562006c1327c5b99daa4cc05a3ba7e38412da1,1.6_M3.rc2,1:17:59,11:06.73,1:17:04,4:04.12,0:35.19,0:17.24,0:01.77,24825060,5325872
fedora19,master:54562006c1327c5b99daa4cc05a3ba7e38412da1,1.6_M3.rc2,1:17:38,11:02.51,1:18:10,4:11.84,0:35.32,0:16.95,0:01.78,24824712,5325928
fedora19,master:54562006c1327c5b99daa4cc05a3ba7e38412da1,1.6_M3.rc2,1:18:20,11:03.54,1:17:07,3:55.11,0:35.43,0:17.20,0:01.78,24824708,5325864
fedora19,master:54562006c1327c5b99daa4cc05a3ba7e38412da1,1.6_M3.rc2,1:18:21,10:59.92,1:16:51,3:57.71,0:35.46,0:17.31,0:01.78,24826880,5325828
fedora19,master:54562006c1327c5b99daa4cc05a3ba7e38412da1,1.6_M3.rc2,1:17:57,10:58.67,1:17:11,3:57.97,0:35.32,0:17.29,0:01.77,24824532,5325784
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:15:07,10:59.41,1:15:59,3:58.80,0:34.72,0:16.69,0:01.36,24899940,5337376
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:15:22,10:58.00,1:16:22,4:04.73,0:35.00,0:16.68,0:01.36,24899136,5337300
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:16:37,11:01.35,1:16:41,4:00.59,0:34.31,0:16.64,0:01.37,24898476,5337292
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:16:48,10:57.45,1:16:30,4:02.10,0:34.51,0:16.68,0:01.55,24899516,5337260
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:18:35,11:01.09,1:16:04,4:02.01,0:34.28,0:16.69,0:01.38,24898432,5337368
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:16:55,10:56.37,1:16:54,4:01.87,0:34.26,0:16.74,0:01.35,24898928,5337400
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:17:07,11:05.61,1:16:19,4:05.85,0:34.28,0:16.67,0:01.35,24904828,5337608
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:15:37,10:58.38,1:16:49,3:59.66,0:34.23,0:16.37,0:01.34,24901808,5337392
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:15:03,10:57.18,1:16:16,4:03.67,0:34.52,0:16.61,0:01.34,24898824,5337332
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:15:52,10:58.50,1:16:37,3:59.98,0:34.79,0:16.59,0:01.36,24899228,5337444
fedora19,master:e665de5500ab1b44fd59dab897c736c62f487ff2,1.6_M4.rc1,1:17:11,11:06.15,1:16:56,3:59.74,0:34.41,0:16.69,0:01.36,24904360,5337260
